Che Davidsonian

THE NEWS AND EDITORIAL VOICE OF DAVIDSON COLLEGE STUDENTS

Published weekly by the students of Davidson College during the school year, except in holidays and examination periods. Entered as
second class matter in Davidson, N.C. 28036. Subscription rates: $5.00 per year, $9.00 for two years. Mailed, JACK WELLMAN Business
Manager BOB CUNNINGHAM Advertising Manager FRANK ANDERSON Editor-in-Chief

PAGE TWO FRIDAY, APRIL 11, 1969

Better Way To Sartre

There is one purpose which the school would do well to start back-to-basics and deal with: the area exams. The
proposal seeks to involve every Davidson student at the time of his graduation in a broad knowledge of several critical
areas of the liberal arts. The object, then, is tremendous. The exam proposal, while it pours a gallon of water
on the traditional approach and the liberal arts ideal, is offensive. The expectation that freshmen and sophomores can cover that
amount of material entirely on their own, and with that much depth, is preposterous. The designers of the test could
well have studied some of the psychology of learning going on in the North Basement. For if the college wants
a thorough area preparation, and is serious about it, it would take an approach other than outmoded area exams. The
fundamental idea behind the exams is tremendous; it is the means we disagree with. No student should go through a
liberal arts education without encountering Sartre, dealing with the problems of psychological experimentation, understanding what counterpoint is, or being chilled
by Yeats’ “Cast a cold eye on life, on death: Horseman, pass by.” — not to mention having some feel
for the necessity of science and technology and their effects on man. And we are willing to go even further.
It is time for Davidson College to reappraise the exam completely, and put in their place a program that meets
the ideal of the liberal arts more closely. If the SKY Committee does not go that far, and rather tries
to bridge the gap, call it the cash we work by unduly bold, treading where the angels fear to go.
But in the interest of being conservative, we offer an alternate proposal: Let freshmen and sophomores take two courses a
term throughout both years, fulfilling area requirements in courses similar to the present ones. But instead of the third course,
assign each student to an area adviser (one adviser in each area) who would supervise a student’s work in the
area. Also set up seminars in each area, with attendance not required but expected, to give the opportunity for students
to pursue the topics and to allow for a free interchange of ideas. The ideal would be a two-year period
of non-graded courses and work in the four areas, thus exciting the enthusiasm of the students and giving them a
chance to explore. The program would mean a two-way division of the four years of education: two years of general
exploration and two years of concentrated major work. In any event, something better be done soon, or the whole Class
of ’72 may follow Lefty to Maryland.

Behind Closed Doors

It has been an established practice in an open, free, and democratic society, where decisions are supposedly based on free
interchange of ideas and the rule of reason and good sense, that meetings of legislative groups are open to attendance
and inspection by those they govern. But Davidson's faculty is not this way. For whether they are scared of having
students question their opinions, whether they are afraid of losing the mystique of authority which comes from meeting secretly, or
for whatever reason, their closed meetings violate every principle of responsibility and education that they have themselves asserted. Is it
not hypocritical to encourage on one hand the pursuit of truth, fuller understanding, free inquiry, and open exchange of ideas
and on the other hand close to students proceedings where the very proposals considered may have been student-written? But is
it not foolish, in a time where misunderstanding between students and faculty can be potentially disastrous, to cut off a
very effective means of facilitating student-faculty understanding? Moreover, is it not a bit childish to hide behind a closed meeting
lest opinions meet disagreement? Now we're not insisting on opening all faculty meetings. There are times when meetings rightly should
be private, but these occasions do not include the times when the faculty deals with student affairs. But, perhaps one
of the professors was right when he said that one could tell by the faculty voting records who had just
received a college loan for a house. And if it is otherwise, where is the evidence? After all, maybe the
faculty does discuss student sex life, and then dispose of ROTC in 10 minutes, as last week's letter suggested. But
if the faculty isn't willing — whatever the reason — to meet in open sessions and take the risks that
students must take in expressing their opinions, then perhaps the faculty should look again at what it's been preaching to
students. A life like that is incompatible with teaching the liberal arts.

Odds ‘N’ Ends

Several odds and ends that cropped up this week could well bear comment. First, there was the fraternity hazing, a
situation at best stupid and at worst unconscionable. It made the IFC and its president as much of a farce
as the SGA's civil disobedience of its own constitution. And the constitution, by the way, is needed back to the
voters. The student government goofed again, and in its rush to ditch the Court of Appeals was careless. So another
few days will be wasted as the student government rearranges legalities again. Still moving on to cars and scholarships. President
Spencer deserves a medal of some sort for taking the responsibility for making the decision. At least someone around this
place has had the guts to say “I'm responsible.” But we can't help but wonder why it never occurred to
faculty members dealing with the matter (or more properly, trying to dodge the matter) that it was the president's right
to decide, and not their own or the whole faculty's. It seems incredible that authority at Davidson is so amorphous.
As a student on a faculty committee said recently, it seems that when a decision is to be made, those
concerned all decide who is to make it and what procedures to follow. Who's in charge here, anyway? Then there's
Judge Wyzanski's opinion in Boston last week that said Congress couldn't discriminate against nonbelievers by granting conscientious objector status only
on the basis of religion. We commend him. Would that we could only rate likewise for the college presidency and
faculty, (not to mention the trustees, who must “accept the Scriptures of the Old and New Testaments as the revelation
of God's will, the final guide in matters of faith and practice,” and “believe in the fundamental teachings of Evangelical
Christianity,” whatever those teachings are.)

LETTERS TO THE EDITOR

Spencer's ROTC Stand Attacked

To The Editor: Admittedly, one letter or editorial probably will not alter or even affect the ultimate decision on ROTC.
But it is hoped that Mr. Spencer, who evidently is determined to make a decision already made, will at least
consider the following points. First, the decision to grant a combatant ROTC unit to Davidson College is not a decision
of the faculty. It is a decision of the Board of Trustees. Second, the decision to grant a combatant ROTC
unit to Davidson College is not a decision of the faculty. It is a decision of the Board of Trustees.
Third, the decision to grant a combatant ROTC unit to Davidson College is not a decision of the faculty. It
is a decision of the Board of Trustees. Fourth, the decision to grant a combatant ROTC unit to Davidson College
is not a decision of the faculty. It is a decision of the Board of Trustees. Fifth, the decision to
grant a combatant ROTC unit to Davidson College is not a decision of the faculty. It is a decision of
